Batch,SampleID,IS_Recovery,Nicotine_Conc_ng_per_mL,Sample_Vol_mL,Nicotine_Mass_ng
Data - Nicotine No Correction,S1,68,86.03889273495736,3,258.1166782048721
Data - Nicotine No Correction,S2,70,30.8220820514387,3,92.4662461543161
Data - Nicotine No Correction,S3,71,0.2337256423457667,3,0.7011769270373001
Data - Nicotine No Correction,S4,39,51.49656854663356,3,154.48970563990068
Data - Nicotine No Correction,S5,53,18.064613772556683,3,54.19384131767005
Data - Nicotine No Correction,S6,25,49.7968963465523,3,149.3906890396569
Data - Nicotine No Correction,S7,57,95.57195121045403,3,286.7158536313621
Data - Nicotine No Correction,S8,65,9.241945323095276,3,27.72583596928583
Data - Nicotine No Correction,S9,43,153.0956075749932,3,459.28682272497963
Data - Nicotine No Correction,S10,68,27.614294317317896,3,82.84288295195368
Data - Nicotine No Correction,S11,55,38.889144832865895,3,116.66743449859769
Data - Nicotine No Correction,S12,48,29.333316942506556,3,87.99995082751967
Data - Nicotine No Correction,S13,58,211.949809734174,3,635.8494292025221
Data - Nicotine No Correction,S14,56,99.66893731911597,3,299.0068119573479
Data - Nicotine No Correction,S15,64,82.98593889998189,3,248.95781669994568
Data - Nicotine No Correction,S16,54,101.26469166896526,3,303.79407500689575
Data - Nicotine No Correction,S17,55,0.6371911586852187,3,1.911573476055656
Data - Nicotine No Correction,S18,64,105.53796645148567,3,316.61389935445703
Data - Nicotine No Correction,S19,47,72.98536189951128,3,218.95608569853383
Data - Nicotine No Correction,S20,65,228.47037384601128,3,685.4111215380339
Data - Nicotine No Correction,S21,72,176.29943698063485,3,528.8983109419046
Data - Nicotine No Correction,S22,56,21.89793609425959,3,65.69380828277878
Data - Nicotine No Correction,S23,84,55.445973899009346,3,166.33792169702804
Data - Nicotine No Correction,S24,78,7.107258618499834,3,21.321775855499503
Data - Nicotine No Correction,S25,62,46.89011232132761,3,140.67033696398283
Data - Nicotine No Correction,S26,70,11.202396490288287,3,33.60718947086486
Data - Nicotine No Correction,S27,69,4.080168268760955,3,12.240504806282866
Data - Nicotine No Correction,S28,75,2.507488257702236,3,7.522464773106708
Data - Nicotine No Correction,S29,91,34.382302418500196,3,103.1469072555006
Data - Nicotine No Correction,S30,93,31.17246702040495,3,93.51740106121485
Data - Nicotine No Correction,S31,89,44.984518433341776,3,134.95355530002533
Data - Nicotine No Correction,S32,81,10.543265584762874,3,31.629796754288623
Data - Nicotine No Correction,S33,81,77.44068346856056,3,232.3220504056817
Data - Nicotine No Correction,S34,69,226.84015980416987,3,680.5204794125096
Data - Nicotine No Correction,S35,82,108.30463837539268,3,324.91391512617804
Data - Nicotine No Correction,S36,80,183.2024426914728,3,549.6073280744184
Data - Nicotine No Correction,S37,73,213.3257330203591,3,639.9771990610773
Data - Nicotine No Correction,S38,94,55.88778685847875,3,167.66336057543623
Data - Nicotine No Correction,S39,77,45.777712276235796,3,137.33313682870738
Data - Nicotine No Correction,S40,87,17.860749445842682,3,53.58224833752804
Data - Nicotine No Correction,S41,88,30.42516007140297,3,91.27548021420891
Data - Nicotine No Correction,S42,71,168.48973899545013,3,505.4692169863504
Data - Nicotine No Correction,S43,85,20.1969659188627,3,60.59089775658809
Data - Nicotine No Correction,S44,71,23.040075638823517,3,69.12022691647056
Data - Nicotine No Correction,S45,89,12.772306154961905,3,38.31691846488572
Data - Nicotine No Correction,S46,95,8.306610200733264,3,24.91983060219979
Data - Nicotine No Correction,S47,96,0.10934011776313661,3,0.3280203532894098
Data - Nicotine No Correction,S48,91,33.857319412996176,3,101.57195823898853
Data - Nicotine No Correction,S49,84,0.06512744051405622,3,0.19538232154216867
Data - Nicotine No Correction,S50,82,10.92047231703529,3,32.76141695110587
